sic,description,as_of_date,value,is_sa,release_as_of_date
56,Apparel and accessory stores,1993-09-01,8667,0,1994-09-01
58,Eating and drinking places,1993-09-01,17702,0,1994-09-01
591,Drug and proprietary stores,1993-09-01,6406,0,1994-09-01
592,Liquor stores,1993-09-01,1669,0,1994-09-01
5961,Total mail order,1993-09-01,2278,0,1994-09-01
53,General merchandise group stores,1994-10-01,24185,1,1994-10-01
541,Grocery stores,1994-10-01,32164,1,1994-10-01
56,Apparel and accessory stores,1994-10-01,9007,1,1994-10-01
58,Eating and drinking places,1994-10-01,18967,1,1994-10-01
591,Drug and proprietary stores,1994-10-01,7110,1,1994-10-01
553,Auto and home supply stores,1993-10-01,3177,1,1994-10-01
571,Furniture and home furnishings,1993-10-01,4956,1,1994-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-10-01,3930,1,1994-10-01
53,General merchandise group stores,1993-10-01,22811,1,1994-10-01
541,Grocery stores,1993-10-01,31155,1,1994-10-01
56,Apparel and accessory stores,1993-10-01,8969,1,1994-10-01
58,Eating and drinking places,1993-10-01,17905,1,1994-10-01
591,Drug and proprietary stores,1993-10-01,6767,1,1994-10-01
592,Liquor stores,1993-10-01,1737,1,1994-10-01
5961,Total mail order,1993-10-01,2514,1,1994-10-01
53,General merchandise group stores,1994-10-01,23997,0,1994-10-01
541,Grocery stores,1994-10-01,31842,0,1994-10-01
56,Apparel and accessory stores,1994-10-01,8953,0,1994-10-01
58,Eating and drinking places,1994-10-01,19214,0,1994-10-01
591,Drug and proprietary stores,1994-10-01,6932,0,1994-10-01
553,Auto and home supply stores,1993-10-01,3285,0,1994-10-01
571,Furniture and home furnishings,1993-10-01,4961,0,1994-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-10-01,3722,0,1994-10-01
53,General merchandise group stores,1993-10-01,22641,0,1994-10-01
541,Grocery stores,1993-10-01,31062,0,1994-10-01
56,Apparel and accessory stores,1993-10-01,8944,0,1994-10-01
58,Eating and drinking places,1993-10-01,18335,0,1994-10-01
591,Drug and proprietary stores,1993-10-01,6578,0,1994-10-01
592,Liquor stores,1993-10-01,1713,0,1994-10-01
5961,Total mail order,1993-10-01,2700,0,1994-10-01
53,General merchandise group stores,1994-11-01,24151,1,1994-11-01
541,Grocery stores,1994-11-01,32427,1,1994-11-01
56,Apparel and accessory stores,1994-11-01,9155,1,1994-11-01
58,Eating and drinking places,1994-11-01,19145,1,1994-11-01
591,Drug and proprietary stores,1994-11-01,7044,1,1994-11-01
553,Auto and home supply stores,1993-11-01,3197,1,1994-11-01
571,Furniture and home furnishings,1993-11-01,4998,1,1994-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-11-01,4027,1,1994-11-01
53,General merchandise group stores,1993-11-01,22676,1,1994-11-01
541,Grocery stores,1993-11-01,31221,1,1994-11-01
56,Apparel and accessory stores,1993-11-01,8957,1,1994-11-01
58,Eating and drinking places,1993-11-01,17832,1,1994-11-01
591,Drug and proprietary stores,1993-11-01,6796,1,1994-11-01
592,Liquor stores,1993-11-01,1733,1,1994-11-01
5961,Total mail order,1993-11-01,2639,1,1994-11-01
53,General merchandise group stores,1994-11-01,28728,0,1994-11-01
